片段,该片段出现在哪些情绪,帧序号,时长_ms,舵机1_右脚横滚,舵机2_右踝俯仰,舵机3_右膝,舵机4_右髋俯仰,舵机5_右髋横滚,舵机6_右肩,舵机7_右臂旋转,舵机8_右肘,舵机9_左脚横滚,舵机10_左踝俯仰,舵机11_左膝,舵机12_左髋俯仰,舵机13_左髋横滚,舵机14_左肩,舵机15_左臂旋转,舵机16_左肘,头_x_mm,头_y_mm,头_z_mm,左手_x_mm,左手_y_mm,左手_z_mm,右手_x_mm,右手_y_mm,右手_z_mm,质心_x_mm,质心_y_mm,质心_z_mm,根_x_mm,根_y_mm,偏航_度
back_fast,,2,300,500,500,520,516,500,500,500,500,500,526,580,460,500,500,500,500,-17.3,0.0,373.6,-15.3,72.0,198.6,-15.3,-72.0,198.6,-21.2,0.0,162.4,-23.3,0.0,0.0
back_fast,,3,300,500,526,580,460,500,500,500,500,500,500,520,516,500,500,500,500,-40.7,0.0,373.0,-38.7,72.0,198.0,-38.7,-72.0,198.0,-37.3,0.0,161.3,-46.7,0.0,0.0
back_fast,,4,300,500,500,520,516,500,500,500,500,500,526,580,460,500,500,500,500,-64.0,0.0,373.6,-62.0,72.0,198.6,-62.0,-72.0,198.6,-67.8,0.0,162.4,-70.0,0.0,0.0
back_fast,,5,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,-64.0,0.0,373.0,-62.0,72.0,198.0,-62.0,-72.0,198.0,-64.1,0.0,160.6,-70.0,0.0,0.0
turn_left_small_step,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
turn_left_small_step,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,360,500,500,513,511,500,500,500,500,500,518,555,472,500,500,500,500,5.9,0.8,373.8,-1.5,72.4,198.8,17.3,-70.3,198.8,3.3,0.4,162.0,0.0,0.0,7.5
turn_left_small_step,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,360,500,518,555,472,500,500,500,500,500,500,513,511,500,500,500,500,5.8,1.6,373.9,-10.9,71.6,198.9,26.4,-67.5,198.9,8.0,2.2,161.7,0.0,0.0,15.0
turn_left_small_step,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,5.8,1.6,373.0,-10.9,71.6,198.0,26.4,-67.5,198.0,5.7,1.5,160.6,0.0,0.0,15.0
turn_right_small_step,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
turn_right_small_step,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,360,500,500,513,511,500,500,500,500,500,518,555,472,500,500,500,500,5.9,-0.8,373.8,17.3,70.3,198.8,-1.5,-72.4,198.8,3.3,-0.4,162.0,0.0,0.0,-7.5
turn_right_small_step,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,360,500,518,555,472,500,500,500,500,500,500,513,511,500,500,500,500,5.8,-1.6,373.9,26.4,67.5,198.9,-10.9,-71.6,198.9,8.0,-2.2,161.7,0.0,0.0,-15.0
turn_right_small_step,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,5.8,-1.6,373.0,26.4,67.5,198.0,-10.9,-71.6,198.0,5.7,-1.5,160.6,0.0,0.0,-15.0
turn_left_small_step_a,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
turn_left_small_step_a,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,320,500,500,513,511,500,500,500,500,500,518,555,472,500,500,500,500,6.0,0.5,373.8,1.7,72.4,198.8,14.2,-71.0,198.8,3.3,0.3,162.0,0.0,0.0,5.0
turn_left_small_step_a,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,320,500,518,555,472,500,500,500,500,500,500,513,511,500,500,500,500,5.9,1.0,373.9,-4.6,72.3,198.9,20.4,-69.5,198.9,8.2,1.4,161.7,0.0,0.0,10.0
turn_left_small_step_a,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,5.9,1.0,373.0,-4.6,72.3,198.0,20.4,-69.5,198.0,5.8,1.0,160.6,0.0,0.0,10.0
turn_right_small_step_a,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
turn_right_small_step_a,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,2,320,500,500,513,511,500,500,500,500,500,518,555,472,500,500,500,500,6.0,-0.5,373.8,14.2,71.0,198.8,1.7,-72.4,198.8,3.3,-0.3,162.0,0.0,0.0,-5.0
turn_right_small_step_a,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,3,320,500,518,555,472,500,500,500,500,500,500,513,511,500,500,500,500,5.9,-1.0,373.9,20.4,69.5,198.9,-4.6,-72.3,198.9,8.2,-1.4,161.7,0.0,0.0,-10.0
turn_right_small_step_a,happy/高兴/neutral/中性/surprised/惊讶/unhappy/不高兴,4,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,5.9,-1.0,373.0,20.4,69.5,198.0,-4.6,-72.3,198.0,5.8,-1.0,160.6,0.0,0.0,-10.0
turn_left,,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
turn_left,,2,380,500,500,520,516,500,500,500,500,500,526,580,460,500,500,500,500,5.9,1.0,373.6,-4.6,72.3,198.6,20.4,-69.5,198.6,2.1,0.4,162.4,0.0,0.0,10.0
turn_left,,3,380,500,526,580,460,500,500,500,500,500,500,520,516,500,500,500,500,5.6,2.1,373.0,-17.1,70.4,198.0,32.1,-64.9,198.0,8.8,3.2,161.3,0.0,0.0,20.0
turn_left,,4,380,500,500,520,516,500,500,500,500,500,526,580,460,500,500,500,500,5.2,3.0,373.6,-29.1,66.4,198.6,42.9,-58.4,198.6,1.9,1.1,162.4,0.0,0.0,30.0
turn_left,,5,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,5.2,3.0,373.0,-29.1,66.4,198.0,42.9,-58.4,198.0,5.1,2.9,160.6,0.0,0.0,30.0
turn_right,,1,220,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,6.0,0.0,373.0,8.0,72.0,198.0,8.0,-72.0,198.0,5.9,0.0,160.6,0.0,0.0,0.0
turn_right,,2,380,500,500,520,516,500,500,500,500,500,526,580,460,500,500,500,500,5.9,-1.0,373.6,20.4,69.5,198.6,-4.6,-72.3,198.6,2.1,-0.4,162.4,0.0,0.0,-10.0
turn_right,,3,380,500,526,580,460,500,500,500,500,500,500,520,516,500,500,500,500,5.6,-2.1,373.0,32.1,64.9,198.0,-17.1,-70.4,198.0,8.8,-3.2,161.3,0.0,0.0,-20.0
turn_right,,4,380,500,500,520,516,500,500,500,500,500,526,580,460,500,500,500,500,5.2,-3.0,373.6,42.9,58.4,198.6,-29.1,-66.4,198.6,1.9,-1.1,162.4,0.0,0.0,-30.0
turn_right,,5,280,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,5.2,-3.0,373.0,42.9,58.4,198.0,-29.1,-66.4,198.0,5.1,-2.9,160.6,0.0,0.0,-30.0
